,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
VAG_0012,0.23482,-0.40586,1.52381,1.37318,0.49115,-2.36516,-0.06264,0.84178,1.02584,-0.96632,1.35471,-1.73795,-0.45728,0.67682,-0.06998,1.86705,0.65112,-0.64573,-0.76872,-1.33187,-1.41501,0.49327,0.83622,1.58229,-0.87957,1.57194,-0.58653,1.87891,-0.2277,-0.74864,-0.0891,0.92079
VAG_0013,0.47289,-0.03194,1.61389,1.5848,0.99622,-2.63264,0.25921,1.1318,0.49695,-0.23869,1.46007,-1.4892,-0.914,0.4871,-0.10726,2.15243,0.51924,-0.89086,0.18251,-0.90877,-1.14281,0.44622,0.38513,0.99406,-0.87719,1.43155,-0.84835,1.71514,-0.43965,-0.79369,0.24779,1.05791
VAG_0014,0.47007,-0.23571,1.54316,1.01811,0.70416,-1.93839,0.44649,0.67618,1.24371,-0.80166,1.73223,-1.41548,-0.4597,1.20542,-0.02234,1.99147,0.75658,-0.76773,-0.71952,-1.09564,-1.35243,0.73774,0.69022,1.24657,-0.65774,1.83375,-0.40213,1.27067,-0.69873,-0.31461,0.77092,1.15891
VAG_0015,0.19391,-0.08795,1.46632,1.1259,0.43464,-2.31178,-0.06167,0.91253,0.53927,-0.93623,1.06227,-1.40655,-0.80212,1.00788,0.01031,2.17044,0.1336,-0.85876,-0.46149,-0.94877,-1.03731,0.07135,0.34439,1.42979,-0.58682,1.70335,-0.35401,1.73525,-0.52028,-0.8858,0.31312,1.37099
VAG_0016,0.41289,-0.78514,1.59928,1.459,0.2709,-2.47892,0.3723,0.58018,1.16807,-0.36772,1.76701,-0.9834,-0.77989,0.80799,-0.24343,1.96375,0.13213,-0.6614,-0.29163,-1.18798,-1.05103,0.51446,0.16969,1.55206,-0.55732,1.33699,-0.61005,1.93687,-0.41622,-0.93256,-0.10416,1.03011
VAG_0017,0.28435,-0.33942,1.2239,0.86842,0.73649,-2.29013,0.42937,0.67765,0.61137,-0.90283,1.97281,-1.58413,-0.68884,0.86446,0.30383,1.85333,0.13282,-1.01213,-0.3863,-0.93326,-1.31667,0.57268,0.4939,1.44215,-0.90807,1.36738,-0.82535,1.33467,-0.83314,-0.57359,-0.08787,0.91784
VAG_0018,0.40206,-0.23127,1.5537,1.18814,0.32294,-2.83801,-0.19843,0.77376,0.51962,-0.7599,1.74579,-1.32911,-0.68495,1.02675,-0.28205,2.35582,0.47968,-0.37722,-0.32449,-1.01353,-1.75447,0.40929,0.12466,1.29313,-0.97183,1.56426,-0.04449,1.52093,-0.27917,-0.83444,0.61697,0.91544
VAG_0019,0.46395,-0.11416,1.93185,0.98198,0.61295,-2.36217,0.26432,0.8292,0.79434,-0.56642,1.71499,-1.71563,-0.60584,0.63654,0.34803,2.23212,0.20189,-0.64781,-0.12549,-0.97449,-1.52402,0.53911,0.62494,1.17882,-0.69973,1.62604,-0.13559,1.83931,-0.59551,-0.57833,0.02179,1.20896
VAG_0020,0.14702,-0.51321,1.68124,1.26272,0.89536,-2.61175,-0.10237,0.51582,1.08105,-1.15645,1.73352,-0.98069,-0.6921,0.89974,0.07318,1.95637,0.30556,-0.968,-0.53321,-1.04391,-1.35328,0.26468,1.04188,1.50545,-0.82547,1.85841,-0.43242,1.90245,-0.62468,-0.93855,-0.19778,1.21343
VAG_0021,0.19329,-0.597,2.05771,1.30996,0.49655,-2.05258,0.01693,0.5778,0.68937,-0.22688,2.06017,-1.05752,-0.88375,0.94109,0.09573,1.67765,0.49437,-0.33254,-0.36493,-1.0111,-1.57811,0.18552,0.8296,1.52001,-0.84531,1.53336,-0.12556,1.4507,-0.66081,-1.07829,0.45364,0.90201
VAG_0022,-0.23904,-0.92317,1.70023,1.37137,0.94012,-1.72891,0.2628,0.51675,1.05303,-0.46184,2.19243,-1.13623,-0.58761,0.90546,0.07804,2.17833,0.1921,-0.50434,-0.30479,-0.91264,-1.11559,0.56823,0.43136,1.36654,-0.50136,1.69602,0.09437,1.77264,-0.02831,-0.48609,0.13157,0.65826
VAG_0023,0.06312,-0.73091,1.81685,0.91656,0.92491,-2.13091,-0.03003,0.44949,1.13895,-0.71217,2.45442,-0.97459,-0.85139,0.61212,-0.14422,2.25587,0.39367,-0.57487,-0.19977,-1.17662,-1.27571,0.94794,0.94826,0.86366,-1.11379,1.38694,-0.35571,1.58325,-0.06752,-0.3327,0.41109,1.24199
VAG_0024,0.44079,-0.23535,1.96678,1.70294,0.33117,-2.16022,-0.09916,0.68711,1.0132,-0.5755,1.57444,-1.12493,-0.41292,1.40994,0.05145,2.12828,-0.23591,-0.42359,-0.17659,-1.54447,-1.15733,0.90442,0.5048,1.14116,-0.86282,1.68148,-0.70753,1.96091,-0.06562,-0.53679,0.04556,1.47815
VAG_0025,0.7097,-0.16821,1.77639,1.38023,0.8297,-2.51373,-0.13104,1.01993,1.50647,-0.7672,1.98432,-1.05754,-0.83909,0.76985,0.11474,1.67011,-0.27683,-0.6417,-0.10843,-1.32763,-1.3389,-0.15614,0.28683,1.22108,-0.52778,1.20971,-0.13112,1.73737,-0.16683,-1.12001,0.21471,1.28486
VAG_0026,0.3584,-0.23663,1.4565,0.88607,0.37622,-2.16127,-0.13857,0.11863,1.22684,-0.82635,2.21777,-1.07625,-0.7499,0.67141,-0.23872,2.29482,0.27244,-0.72925,0.1987,-1.33102,-1.7367,0.87042,0.52677,1.59151,-0.79859,2.26686,-0.36041,1.62769,-0.21814,-0.49084,0.37936,0.7447
VAG_0027,0.50636,-0.4604,1.55465,1.08242,0.3463,-1.88459,-0.1749,0.74693,0.60192,-0.54954,2.0118,-1.42347,-0.75709,1.12188,0.04628,2.17256,-0.03507,-0.37801,-0.46484,-1.09409,-1.25673,0.54824,0.51115,1.44779,-1.16186,1.80908,-0.59345,1.6722,-0.16293,-0.62518,0.15412,0.94468
VAG_0028,0.16954,-0.44009,1.72215,1.15993,0.13593,-1.79644,0.27167,1.01728,1.11832,-0.76218,1.71497,-1.4386,-0.6264,1.03231,0.16312,2.17112,-0.08456,-0.55209,-0.41537,-0.91667,-1.92179,0.89026,0.39662,1.39193,-1.08012,1.91748,0.183,1.63106,-0.25527,-0.98189,0.3496,1.24665
VAG_0029,0.0987,-0.24,1.70629,1.54966,0.28364,-2.34037,0.10907,0.74438,1.51588,-0.43743,2.09136,-0.70927,-0.85772,0.905,-0.0224,2.30887,0.0863,-0.26179,-0.49,-1.2032,-1.40351,0.77429,0.92305,1.16999,-0.49963,1.76094,-0.19158,1.87205,-0.84089,-0.69554,-0.22231,1.26601
VAG_0030,0.01211,-0.04346,1.84966,0.84538,0.79039,-2.51871,-0.27421,0.87983,0.99433,-0.54543,2.32719,-1.38271,-0.46935,0.50419,-0.12531,2.13077,-0.28538,-0.57364,-0.40817,-1.25629,-1.54404,0.74921,0.69262,1.61586,-1.00037,2.16133,-0.0162,1.49778,-0.58781,-1.1522,0.44401,1.31944
VAG_0031,0.02592,-0.20368,1.54751,1.28914,0.94848,-2.63284,0.13056,0.19682,0.87787,-1.02467,1.86123,-1.63989,-0.9302,1.53872,0.30503,1.65548,-0.25142,-0.76192,-0.58114,-0.65008,-1.39525,0.97314,0.46101,1.22788,-0.70367,1.3971,-0.37321,1.62411,-0.67514,-0.92316,0.283,1.03985
VAG_0032,0.09477,-0.55351,1.23125,0.99076,0.39124,-2.41493,0.0062,0.71751,0.89443,-0.3357,1.87901,-1.09582,-0.36028,0.86974,-0.07542,1.99552,-0.07685,-0.4418,-0.46774,-1.40477,-1.57861,0.692,0.52445,1.51301,-0.56896,2.06302,-0.35135,1.80184,-0.60299,-0.61408,0.0426,1.29502
VAG_0033,0.1696,0.03571,1.51525,1.30414,0.35993,-2.42975,-0.28315,0.84535,0.7961,-0.74198,2.02045,-1.56887,-0.85654,0.86555,0.41422,2.02153,0.29153,-0.73074,-0.14922,-1.3314,-1.25064,0.76169,0.52843,1.51279,-0.71017,1.87336,-0.39015,1.79666,-0.36295,-0.49148,0.43699,0.88537
VAG_0034,0.2258,0.02735,1.5896,1.50049,0.4813,-2.86162,0.03109,0.46455,0.7024,-0.89228,1.76046,-0.80368,-1.43809,0.86041,0.60637,1.7501,0.41527,-1.10564,-0.39558,-1.23513,-1.21056,0.76528,1.11822,1.29157,-0.9298,1.76734,-0.28998,1.70984,-0.70101,-0.78758,0.29227,0.84807
VAG_0035,-0.00049,-0.18582,1.95518,1.80365,0.56503,-2.23026,-0.17364,0.91804,1.24298,-0.45582,1.91941,-1.26535,-0.06044,1.27848,0.13623,2.02742,0.55367,-0.70595,-0.1314,-0.84967,-1.49363,0.57611,0.12015,1.5741,-0.79316,1.69546,-0.22171,1.63064,-0.4112,-0.46216,0.66277,0.90651
VAG_0036,0.11555,-0.15982,-1.55765,-1.69479,0.53701,1.13012,-0.34295,-1.05558,0.72226,-1.64319,-0.65943,0.80197,-2.16385,0.08427,-0.57771,0.1089,-0.16411,-0.06704,0.89901,-0.916,1.60675,0.28353,1.00448,1.40515,0.69962,0.88566,-0.19329,-1.28098,-0.06476,-0.57891,-1.08383,0.02072
VAG_0037,-0.32022,-0.83771,-1.6713,-1.29661,0.98283,1.01251,0.08258,-0.86271,0.9893,-1.10908,-0.27599,0.30082,-2.23839,0.17003,-0.83353,0.29534,-0.32932,0.4023,0.70636,-0.59071,1.74859,1.09053,0.9621,1.33958,1.02514,0.97289,-0.20605,-1.44107,0.33047,-1.03624,-1.44875,0.16912
VAG_0038,0.04243,-0.88897,-1.27023,-1.33633,0.82274,1.11116,-0.33825,-1.12115,0.27169,-1.55607,-0.86311,0.59288,-2.69708,0.68791,-0.21498,0.69436,0.06115,0.28277,0.93274,-0.48513,1.08817,0.49303,0.5795,1.12804,1.07462,0.91991,0.51478,-1.58497,-0.39776,-0.87127,-1.44705,-0.19665
VAG_0039,0.47351,-0.67911,-1.31423,-1.63507,0.35937,0.88655,-0.54629,-1.39742,1.16305,-0.78823,-0.63988,0.67904,-2.62202,0.35373,-0.14669,0.00944,-0.26927,0.13386,0.46334,-1.16404,1.76587,0.3002,0.77041,1.18983,0.81477,1.03946,-0.18171,-1.54723,0.26026,-0.94703,-0.98112,0.19085
VAG_0040,0.20892,-0.65435,-1.24153,-1.47016,0.50766,1.01119,0.06609,-0.89425,0.79543,-0.91446,-1.02905,0.86362,-1.98104,0.91134,-0.62094,0.19726,-0.24186,0.59095,0.32215,-0.60928,1.41394,0.88568,1.12615,1.35015,0.9787,0.9997,-0.10831,-1.50747,-0.45444,-0.78933,-1.36841,0.36407
VAG_0041,0.05633,-1.29231,-1.38809,-1.28782,0.82782,1.26696,-0.06325,-0.61224,0.62294,-1.00312,-0.39058,0.47783,-2.31506,0.14434,-0.76514,-0.11947,-0.47658,0.23987,0.22295,-0.84082,1.46301,1.08169,0.84674,0.52323,1.08971,0.54514,-0.0931,-1.31554,-0.22731,-0.93127,-1.29151,0.2497
VAG_0042,0.17965,-0.56977,-1.79035,-1.39583,0.31406,1.66901,-0.27691,-1.09613,1.17825,-1.48189,-0.71945,0.86774,-2.1864,0.35425,-0.52496,-0.05092,-0.09928,0.56216,0.29947,-0.72969,1.33996,0.60273,0.96486,1.13805,0.63505,1.15144,0.12449,-1.59028,-0.19064,-0.85539,-1.501,0.47085
VAG_0043,0.53347,-0.71052,-0.73992,-0.94013,0.56815,1.2075,-0.3856,-0.84997,0.9673,-1.23417,-0.69052,0.74814,-2.29224,0.3503,-0.3359,-0.07851,-0.63517,0.63601,0.33463,-0.79359,1.07424,0.78422,0.81047,1.43476,1.05923,0.83017,-0.05087,-1.42631,-0.23849,-0.85844,-1.66654,0.37874
VAG_0044,0.10197,-0.80832,-1.45543,-1.16951,0.33232,1.13698,-0.34494,-1.04465,0.90238,-1.80011,-0.95897,0.47211,-1.8376,0.24282,-0.94346,-0.35645,0.13777,0.12369,0.85294,-0.4449,1.63043,0.52399,0.75317,1.42794,0.88397,1.03831,-0.12717,-1.71068,-0.25485,-0.60183,-1.33456,-0.01895
VAG_0045,0.19135,-0.61396,-1.30832,-1.42961,0.34959,1.35036,0.11957,-0.88787,0.90004,-1.03879,-0.67442,0.48942,-1.92662,0.42497,-0.62373,-0.20553,-0.14831,-0.21928,0.44158,-0.77193,1.19375,0.51822,0.54741,1.15922,0.71956,0.96363,0.47301,-1.49323,-0.21202,-0.79917,-1.27688,0.29281
VAG_0046,0.17547,-0.65254,-1.07748,-1.44621,0.31256,1.49939,-0.06609,-1.13934,0.89902,-1.51663,-0.52369,0.65109,-2.15126,0.20776,-0.08462,-0.42035,-0.18216,0.41511,0.95759,-0.74487,1.25889,0.8427,0.76194,0.76404,0.78219,0.73642,0.02424,-1.36384,-0.25047,-0.59868,-1.23154,0.30223
VAG_0047,0.63419,-0.75517,-1.33146,-1.54543,0.62042,0.86627,-0.15157,-1.13116,0.65276,-0.75598,-0.92972,0.7638,-1.93139,0.52352,-0.67503,0.40754,0.28303,0.11954,0.71454,-0.63174,1.86463,0.81263,0.79426,1.05435,0.83409,1.19989,0.13611,-1.32903,-0.34688,-0.66657,-1.95693,0.6237
VAG_0048,0.34053,-0.98317,-1.64389,-1.66837,0.26059,1.18204,-0.03787,-1.24443,1.16868,-0.91496,-0.84369,0.6496,-2.3058,0.53553,-0.62083,0.48566,0.21525,-0.00984,0.72347,-0.95105,1.46237,1.00225,1.29539,1.03033,0.80157,0.4717,0.18931,-1.2565,0.05467,-0.60122,-1.3125,0.10165
VAG_0049,-0.00023,-0.05253,-1.31025,-1.09255,0.54672,1.15818,-0.34854,-0.63141,1.08928,-1.05881,-0.26836,0.92021,-2.11682,0.30825,-0.59915,0.04915,-0.10404,0.19927,1.11571,-1.00126,1.53517,0.91625,0.83707,1.38501,0.6082,1.05659,0.2095,-1.48218,-0.33226,-1.12402,-1.35024,0.67988
VAG_0050,0.34934,-0.7031,-1.28589,-1.0564,0.50903,0.97442,-0.22774,-1.20298,0.48438,-1.19446,-0.58506,0.48801,-2.50371,0.638,-0.62943,0.27331,0.21078,0.59317,0.81455,-0.95497,1.5563,0.80101,0.62,1.35031,1.02195,0.78752,0.27564,-1.28249,-0.1353,-0.4618,-2.15193,0.07596
VAG_0051,-0.0795,-1.08765,-0.77473,0.57682,0.61229,1.37455,-0.48559,0.955,1.26233,1.03595,-2.55599,0.89349,0.28576,0.87155,0.31773,0.49215,0.69082,-0.4696,-1.8829,-0.32519,-1.14197,1.36021,-0.65457,-0.27054,-1.01699,-0.86513,-0.40478,-1.78458,0.4711,0.27569,-1.32849,-2.08462
VAG_0052,-0.83884,-0.78045,-1.13582,0.36488,0.38061,1.14089,0.19311,1.57616,1.2314,1.78552,-2.26126,2.00341,0.17348,0.30153,0.69262,0.57164,0.05159,-0.2459,-2.00541,0.07482,-0.94829,0.90685,-0.16547,-0.09254,-0.87958,-0.49085,0.24232,-1.69583,-0.19862,-0.29931,-1.06231,-2.51855
VAG_0053,-0.35694,-1.40356,-0.89746,0.60609,0.2267,1.61736,0.49598,1.48033,1.73955,1.35475,-1.75793,0.83089,0.53826,0.37607,0.50189,0.52085,0.20775,-0.36508,-1.48778,-0.13721,-0.62873,0.98243,-0.67626,0.3731,-0.77908,-0.51527,0.13718,-1.47193,0.28621,-0.26775,-0.99025,-2.28832
VAG_0054,-0.58187,-1.27416,-0.89621,0.38401,0.15243,1.52963,0.08137,1.04846,1.18719,1.12061,-2.31777,1.24689,0.24361,0.9303,0.16607,0.28775,0.39752,-0.16327,-1.72383,0.09752,-0.76834,0.51625,-0.47377,0.12969,-1.09266,-0.49598,0.53647,-1.56157,0.11999,-0.05489,-1.14743,-2.44131
VAG_0055,-0.60828,-0.76,-1.5842,-0.23581,0.70073,1.23294,0.06546,0.59498,1.40851,1.02667,-1.99916,1.54818,0.56824,0.26131,0.66633,0.11788,0.25854,-0.1501,-2.17221,0.12698,-0.49404,1.15784,-0.0691,0.3255,-0.40759,-0.42669,-0.00613,-1.47459,0.61304,-0.3369,-1.13792,-2.61238
VAG_0056,-0.52821,-0.93888,-1.3393,-0.00524,0.58996,1.9157,-0.24209,0.81817,1.80125,0.85861,-2.00685,1.38363,0.47522,0.6164,0.05107,1.17645,0.68974,-0.66615,-1.4885,0.13839,-0.9507,0.80868,-0.42167,-0.12922,-0.67479,-0.52061,-0.05822,-1.38191,0.47196,0.14705,-1.35769,-2.24395
VAG_0057,-0.30552,-0.5452,-1.17868,0.39082,0.58707,1.20637,0.0629,0.98722,1.29216,1.12209,-2.40815,1.21314,0.21981,0.44327,0.2732,0.45725,0.25066,-0.53643,-2.06934,0.57376,-0.87928,1.41164,-0.49267,0.03576,-0.90992,-0.44693,-0.21039,-1.46623,0.44839,0.20766,-1.38124,-2.36473
VAG_0058,-0.65383,-0.8476,-1.17599,0.56243,0.36307,1.0293,0.16855,1.20105,1.5591,1.26601,-2.70795,1.20131,0.7374,0.59357,0.43073,0.72273,0.47025,-0.43951,-1.87861,-0.34032,-0.53415,1.04834,-0.17125,0.5044,-0.98979,-0.21321,0.22823,-1.2047,0.51473,0.26268,-1.16988,-2.61413
VAG_0059,-0.88379,-0.80501,-1.56335,0.68497,0.54581,1.36014,0.42106,1.24585,1.89475,1.07657,-2.52801,1.3622,0.44348,0.46861,0.19702,0.51395,0.29588,-0.78831,-1.85367,-0.12735,-0.63283,0.66381,0.05427,0.1571,-0.70816,-0.42518,-0.18109,-1.62171,0.50426,-0.20263,-1.67574,-2.37803
VAG_0060,-0.37377,-0.83537,-1.32122,-0.00565,0.31726,1.64511,-0.58602,0.69461,1.6169,1.46357,-2.34237,1.73862,0.19565,0.56889,0.64323,0.1672,0.42519,-0.23092,-2.05839,-0.1191,-0.80888,0.8057,-0.32319,-0.20479,-1.21306,-0.79291,-0.23611,-1.45591,0.06258,-0.35675,-0.82711,-2.52123
VAG_0061,-0.56384,-1.05725,-0.60179,0.14811,-0.21423,1.09061,0.18129,1.17916,1.57319,0.90685,-2.51261,0.93633,0.42776,0.52231,0.74026,0.48198,0.44037,-0.39259,-2.47361,-0.11524,-0.71085,1.17,-0.11936,-0.04819,-0.47512,-0.51202,0.04771,-1.14804,0.32711,-0.30591,-1.29753,-2.60689
VAG_0062,-0.75371,-1.33541,-1.01136,0.49708,0.60306,1.2143,0.3774,0.72948,1.38207,1.27575,-2.32145,1.09097,0.59443,0.43775,0.6027,0.1127,0.51581,0.07823,-2.06568,0.05234,-0.71722,0.86341,-0.19955,-0.08639,-1.22093,-0.38238,0.11654,-1.82693,0.21592,-0.51868,-1.22616,-2.38808
VAG_0063,-0.90579,-1.40344,-1.26654,0.07231,0.21743,1.24075,-0.16223,1.24997,0.91384,1.02536,-2.89394,0.91367,0.5911,0.67414,0.38137,0.40201,0.04742,-0.38559,-1.83812,-0.22512,-0.62196,1.35344,-0.3967,0.29932,-0.80994,-0.8393,0.05904,-1.46193,0.82856,-0.20654,-1.37917,-2.45002
VAG_0064,-0.7809,-0.74748,-1.36096,0.26645,0.80673,1.90925,-0.36837,1.00281,1.64399,1.22013,-2.4298,1.04041,0.32203,0.29542,0.72631,0.37636,0.37756,-0.57778,-1.61606,-0.27439,-0.59507,0.89134,-0.42701,0.30742,-1.20465,-0.64616,0.14791,-1.38979,0.10718,-0.2109,-1.40432,-1.92563
VAG_0065,-0.56104,-1.13364,-1.13546,0.24691,0.76888,1.4743,0.29985,1.12336,1.52123,1.27788,-2.52979,1.51934,0.24131,0.6148,0.13551,0.03887,0.31279,-0.5797,-1.28415,-0.47834,-0.78881,1.02405,-0.83045,0.06055,-1.03213,-0.39184,-0.26118,-1.02886,0.35932,-0.37406,-1.46792,-2.28617
VAG_0066,-0.6455,-0.97519,-1.40643,0.25809,0.90183,1.76401,0.28711,0.97609,1.62625,1.23468,-2.68049,1.19943,-0.37608,0.54471,0.59008,0.76123,0.49448,-0.15964,-2.17849,0.15291,-0.6395,1.29337,-0.07082,-0.06681,-0.85048,-0.46838,-0.06136,-1.28937,0.47102,-0.27079,-0.9272,-2.43346
VAG_0067,-0.62828,-1.34356,-1.15475,0.23638,0.85233,1.59257,-0.09805,1.08802,1.65556,1.58888,-1.90209,1.39599,0.09041,0.66273,0.15951,0.78695,0.35013,-0.51236,-2.08846,0.01139,-0.7472,1.36572,-0.64433,0.17649,-0.5606,-0.80428,-0.0951,-1.51335,0.46847,-0.1598,-1.33993,-2.0766
VAG_0068,-0.39801,-0.8638,-1.00609,0.50374,0.71296,1.4938,0.14122,0.96715,1.50462,1.75465,-2.03802,1.30505,0.42502,0.40305,0.27865,0.39452,0.32399,-0.3082,-1.78636,0.13725,-0.88126,1.15722,-0.38146,-0.1395,-0.91016,-0.50724,0.14027,-1.71528,0.62745,-0.10906,-1.06625,-2.48692
VAG_0069,-0.54989,-1.1217,-0.97728,0.34096,0.83697,1.49647,-0.22373,0.95081,1.28649,1.66088,-2.69365,1.29428,-0.07426,-0.19154,0.48408,0.12615,0.04773,-0.40988,-1.9594,-0.18983,-0.84072,0.70605,-0.40317,0.11689,-0.75506,-0.88992,0.15473,-1.56188,-0.15332,-0.29591,-1.14704,-2.53302
VAG_0070,-0.40637,-1.0949,-1.28354,0.46726,0.14689,1.47991,-0.0456,1.23398,1.44278,1.26412,-2.11807,1.73591,0.34922,0.42938,0.27986,0.78858,0.42455,-0.32445,-2.3695,0.33358,-0.57883,0.96025,-0.03847,0.04599,-1.06656,-0.5687,0.29643,-1.58976,0.58219,0.17182,-1.12262,-2.54972
VAG_0071,0.41393,-0.4302,-0.22692,-0.6463,2.13215,0.20853,0.38118,-2.04599,1.90046,1.13703,1.20161,-0.60171,0.97814,0.2159,0.29202,-0.16882,-1.27563,0.9458,-2.06365,-0.30907,-0.398,-1.39612,0.57938,-0.61925,-0.19252,0.38401,-0.6082,1.38742,0.92313,-0.33871,-2.20452,-1.4658
VAG_0072,0.48898,-0.36369,-0.35842,-0.27815,1.9848,0.25167,0.40769,-1.4793,1.62933,1.00919,0.83952,0.60674,0.61105,0.40458,0.60964,-0.25838,-1.5049,0.82988,-1.67719,-0.08491,-0.13187,-0.94328,0.44807,-0.45491,-0.54495,0.46876,-0.55912,1.4663,0.23387,-0.49445,-1.76788,-1.00132
VAG_0073,0.81537,-0.87518,-0.46307,-0.17571,1.72566,-0.19053,0.3401,-1.76866,0.97138,0.80923,1.05014,-0.63615,0.81733,0.17868,0.59997,0.21358,-1.28756,0.66544,-2.65417,-0.64613,-0.47663,-1.03795,0.66154,-0.24853,-0.79041,0.52476,-0.1114,1.23918,0.64281,-0.58927,-2.20809,-1.34306
VAG_0074,0.40551,-0.18353,-0.56963,-0.3412,2.10305,-0.50459,0.03653,-1.46984,1.75468,0.77949,1.25758,0.08803,0.43364,0.11176,0.21554,0.0318,-1.60057,0.84752,-2.07295,-0.45778,-0.42683,-1.02548,0.26897,-0.18561,-0.39736,0.93429,-0.66982,1.85809,1.05053,-0.30477,-2.08981,-1.39224
VAG_0075,0.2796,-0.2986,-0.67437,-0.54658,1.63892,0.17925,0.29162,-1.40486,1.31005,0.47389,1.18568,0.45881,0.84264,0.56004,0.69921,-0.39929,-1.54099,0.73787,-1.99493,-0.05815,-0.30302,-0.94299,0.81649,-0.42557,-0.26725,0.25013,0.30771,1.5476,0.36851,-0.38269,-2.32941,-0.72669
