,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
GUT_0017,-0.06319,0.00071,0.82503,0.19349,-1.12581,0.61359,1.21644,0.643,-0.55291,-1.12471,-0.88404,0.65943,-2.62744,-0.65204,-1.53445,-0.37707,-0.58822,-0.40931,0.39609,0.89336,-0.3011,1.20616,-0.48821,0.60662,0.6397,0.15382,-0.54645,-1.19216,-0.58337,-0.03932,-1.33238,-0.18371
GUT_0018,0.11837,-0.02895,0.56735,-0.05385,-0.55834,0.36035,1.12754,1.05373,-0.51709,-1.2259,-0.1949,-0.11676,-2.19488,-0.32098,-1.18725,-0.93975,-0.26548,-0.27229,0.70969,0.72599,-0.25191,1.14332,-0.79818,0.17836,0.87333,0.0897,-0.75375,-1.06061,-0.41087,0.4391,-1.23519,-0.20895
GUT_0019,0.10977,-0.13602,0.39265,0.11033,-0.76614,0.49052,1.2782,0.95705,-0.92653,-1.06448,-0.4502,0.25671,-1.76818,-0.23192,-0.94506,-0.76322,-0.44574,-0.22497,0.47778,1.20708,-0.20452,1.3767,-0.53137,0.78847,0.69288,-0.35752,-0.86452,-0.89924,-0.41398,0.24325,-0.71392,0.03484
GUT_0020,0.03923,-0.22118,0.58402,-0.28826,-0.65093,0.25538,1.25678,0.88351,-0.53573,-1.39841,-0.73292,0.17681,-2.38386,-0.16468,-1.07858,-0.62677,-0.48172,-0.36541,0.5821,1.0864,-0.25475,1.32876,-0.96973,0.11112,0.43274,-0.07597,-0.40961,-1.06085,-0.26084,0.21933,-1.18476,0.12539
GUT_0021,0.38608,-0.4008,0.59594,0.27193,-0.61063,0.64133,1.49432,0.55286,-0.82184,-1.1949,-0.76702,-0.01274,-2.12508,-0.1396,-1.47607,-0.68862,-0.69733,-0.6201,0.12912,1.11425,-0.13556,1.36782,-0.95175,0.30553,0.64418,-0.13759,-0.78478,-1.26757,-0.29041,0.84192,-0.89491,-0.4699
GUT_0022,0.03133,-0.00528,0.78777,-0.15304,-0.46088,0.6507,1.74277,0.77188,-0.91979,-1.25182,-1.3553,-0.09143,-2.39277,-0.33363,-1.64188,-0.79366,-0.73841,-0.12693,0.18201,0.97193,-0.18677,1.50836,-1.30167,0.26635,1.09337,0.00359,-1.12523,-0.84008,-0.37355,0.15257,-1.29957,-0.39434
GUT_0023,-0.35431,-0.32443,0.62499,-0.02186,-0.55456,0.38251,1.52814,1.49804,-0.52079,-1.6165,-1.28751,0.01771,-2.30718,-0.50926,-1.1779,-0.924,-0.44359,-0.39768,0.511,0.60671,-0.23815,1.32931,-1.02141,0.82209,0.76828,0.44151,-0.90958,-0.97922,-0.16175,0.29615,-0.9616,-0.14269
GUT_0024,-0.11338,-0.08275,0.50442,0.09389,-0.55499,0.3525,1.29531,0.78399,-0.96724,-1.43151,-0.35539,0.13487,-2.17829,0.1262,-1.54077,-0.60478,-0.81303,-0.39988,0.53269,1.4461,-0.32408,1.34276,-0.37614,-0.02094,0.994,0.01694,-0.96392,-0.88507,-0.30899,-0.00783,-0.91462,-0.16583
GUT_0025,0.39821,-0.34709,0.49376,0.2976,-0.65953,-0.09833,1.56622,0.94928,-0.22698,-1.17605,-0.57553,0.75995,-2.368,-0.45675,-1.18861,-0.44833,-0.83554,-0.54337,0.52407,0.24318,-0.4017,1.56533,-0.81188,-0.05511,1.38486,-0.25862,-0.87434,-1.01491,-0.43694,0.12782,-1.02986,-0.1948
GUT_0026,-0.469,-0.02184,0.28931,-0.43676,-0.19033,0.04022,1.34897,0.75394,-0.87335,-1.14451,-0.88533,0.13449,-2.22986,0.07232,-1.32996,-0.47062,-0.11409,0.08037,0.55815,1.1548,0.58383,1.92451,-0.85685,0.58241,1.05396,0.11208,-0.70517,-0.79978,-0.22339,0.27489,-0.92467,0.13886
GUT_0027,0.37329,0.27621,0.94718,0.1992,-0.48372,0.05569,1.37702,0.68779,-0.95975,-1.10279,-0.64842,0.15938,-2.48177,0.08151,-1.20997,-0.43534,-0.3759,-0.27499,0.292,1.05039,0.07847,1.54088,-0.96409,0.60793,0.84999,0.29783,-0.91787,-0.76226,-0.65687,0.25253,-1.08413,-0.28057
GUT_0028,-0.30943,0.08705,0.88084,-0.00579,-0.88061,0.19992,1.5409,1.10346,-0.77882,-1.0411,-0.88364,-0.11183,-2.20638,-0.24277,-1.39322,-1.3603,-0.37645,-0.23537,-0.0241,1.19259,-0.13213,1.43617,-0.4289,0.16654,1.08186,0.26498,-0.55312,-0.51274,-0.29304,0.07981,-0.56002,-0.486
GUT_0029,0.10004,0.13845,0.96487,0.22078,-0.68802,0.22319,1.1532,1.18529,-0.93037,-1.04929,-0.63142,0.08434,-1.9471,-0.33763,-0.83048,-1.08463,-0.75045,-0.7109,0.22494,1.18823,0.0559,1.44316,-0.59842,0.05818,0.57176,0.16998,-0.40655,-1.01276,-0.77487,-0.16312,-1.17978,0.18571
GUT_0030,-0.02664,-0.25299,0.70683,-0.0601,-0.75815,0.31459,1.42117,1.12634,-0.5661,-1.3798,-1.04704,-0.1583,-2.25401,-0.5522,-1.18276,-0.87976,-0.6898,-0.03642,0.46631,1.38508,-0.36335,1.64915,-0.43792,-0.39724,0.8814,0.47957,-0.54898,-1.03206,-0.51592,-0.10557,-0.95805,-0.65747
GUT_0031,0.12059,-0.22296,0.61394,0.79037,-0.27687,0.16768,1.72069,0.92488,-0.51881,-1.41208,-0.85774,0.2418,-2.51725,-0.41412,-1.02145,-1.02278,-0.89907,-0.18004,-0.07834,0.85458,-0.21995,1.03014,-0.94454,0.51798,0.97658,-0.14242,-0.61113,-0.54191,-0.77833,0.23551,-0.51546,-0.05639
GUT_0032,-0.07376,0.15374,0.80385,0.09202,-0.652,-0.07534,1.34298,0.77415,-0.7367,-1.09768,-0.41827,0.22108,-1.76126,0.07249,-1.43243,-0.93684,0.03778,-0.48213,0.4006,1.47873,0.30029,1.35281,-0.60471,-0.05727,0.67638,0.0027,-0.74491,-1.00256,-0.41965,0.76837,-0.89353,-0.132
GUT_0033,0.43397,-0.37992,0.60903,-0.16904,-0.51389,0.39136,1.53413,1.2465,-0.53797,-0.85986,-0.22615,0.12017,-2.23169,-0.70286,-1.16585,-0.73354,-0.96638,-0.42415,0.65099,0.73282,0.1947,1.48516,-0.72229,0.31593,1.11095,-0.26384,-0.23331,-1.12508,-0.64905,0.52539,-0.81211,0.12217
GUT_0034,-0.19337,-0.25031,0.69003,0.1006,-1.04887,0.6227,1.73679,1.3131,-0.9582,-1.15643,-1.1549,0.46383,-2.81,-0.11616,-0.95527,-0.40944,-0.45827,-0.67271,0.38634,0.97543,-0.03644,1.6134,-0.49968,0.88191,1.06873,-0.00319,-0.336,-1.00036,-0.38726,0.26539,-1.58293,-0.13997
GUT_0035,0.09041,-0.45321,0.66104,0.48063,-0.57999,0.23106,1.15207,1.45135,-1.04255,-1.05418,-0.59542,0.52155,-1.99721,-0.24087,-1.63128,-0.37486,-0.17975,-0.59253,0.59794,0.84232,-0.32258,0.96414,-0.43197,0.41929,1.0271,0.45713,-0.57634,-0.77558,-0.27041,-0.04595,-1.01823,-0.51074
GUT_0036,0.3912,0.38245,0.36912,0.14823,-0.5534,0.4934,1.4496,1.03769,-0.94553,-1.16675,-0.40019,-0.08702,-1.83049,-0.27752,-1.40438,-0.65817,-0.60866,-0.65809,0.40509,1.44144,0.3721,1.2247,-0.43888,0.38464,0.97444,0.41086,-0.53048,-0.88315,-0.68991,-0.0608,-1.02562,-0.12827
GUT_0037,0.37063,-0.73287,0.86628,-0.15696,-0.25715,0.44576,1.46164,0.81185,-0.63307,-1.73222,-0.34946,-0.04138,-2.9723,0.04658,-0.82672,-0.9513,-0.24108,-0.50374,-0.155,0.95304,-0.047,1.39985,-0.6393,0.42562,0.95761,0.04,-0.89384,-0.98818,-0.54564,0.14446,-1.28536,-0.34482
GUT_0038,0.10972,-0.17802,0.77404,0.30852,-0.36565,-0.07588,1.19015,1.12349,-0.57489,-1.09547,-0.54469,-0.17206,-2.01939,-0.55869,-0.99947,-0.73636,-0.91242,-0.41534,0.71257,0.89541,-0.43119,1.29427,-0.86971,0.03886,1.01285,0.29356,-0.88143,-0.79082,-0.55448,0.19527,-0.97877,0.16415
GUT_0039,0.25469,-0.1874,0.52383,-0.10504,-0.54223,0.34656,1.20345,0.59929,-1.13053,-1.23343,-0.57872,0.58711,-2.3697,0.03656,-0.94711,-0.74753,-0.52506,-0.42376,0.85542,0.66541,-0.13845,1.71249,-0.69211,0.20878,0.96169,0.22576,-0.60164,-0.85131,-0.2702,0.45662,-1.28634,-0.3039
GUT_0040,0.18438,0.03601,0.87846,-0.10961,-0.84241,0.07317,1.76867,0.68347,-0.76238,-1.31179,-0.36551,-0.39325,-2.33485,0.08481,-0.96719,-0.62994,-0.60949,0.12312,-0.00636,1.28776,-0.00149,1.51422,-0.59874,0.40281,1.13617,-0.19425,-1.05514,-0.88111,-0.44469,0.26111,-0.61201,-0.354
GUT_0041,0.71737,-0.48265,0.50392,-0.0093,-0.20552,0.15662,1.71849,1.34661,-0.48733,-1.15608,-1.01232,0.08686,-2.6827,-0.30945,-1.19514,-0.80949,-0.30656,-0.34859,0.02448,0.7775,-0.44701,1.28736,-0.3533,0.47795,0.98835,-0.22733,-0.15121,-0.92879,0.1465,0.00334,-1.15158,0.44074
GUT_0042,0.04118,-0.33546,1.18069,-0.14613,-0.31131,0.63767,1.05105,0.47277,-1.1489,-1.46532,-0.56761,0.12519,-2.37229,-0.24512,-1.0024,-0.54023,-0.44957,-0.47054,0.60602,1.08782,-0.31549,1.22224,-0.35803,0.81286,0.77104,-0.4255,-0.59663,-1.14754,-0.2746,0.12621,-0.45222,-0.18111
GUT_0043,-0.57909,-0.09827,0.70591,0.28498,-0.67412,0.03864,0.90388,1.08537,-0.52616,-1.48436,-0.75528,-0.14072,-2.79883,-0.16901,-1.03441,-0.7881,-0.89988,-0.36588,0.75274,1.57499,-0.06126,1.16923,-1.16159,-0.03497,0.88125,0.15045,-0.67934,-0.98747,-0.84353,-0.17392,-0.97279,-0.41532
GUT_0044,0.5475,-0.29873,0.69622,0.16069,-0.62167,-0.14178,1.1834,1.3277,-1.02393,-1.72595,-0.67799,-0.06177,-2.64824,-0.40693,-1.36618,-0.83549,-0.50357,-0.13963,0.5084,1.12795,0.2915,1.64029,-1.3934,0.26072,0.50933,-0.07827,-0.55073,-0.97202,-0.56482,0.54944,-1.38556,-0.23263
GUT_0045,-0.16509,-0.13775,0.8423,0.19421,-0.45625,0.43846,1.3378,0.63677,-0.78101,-1.15771,-1.4019,0.23062,-2.24067,-0.48984,-1.4325,-0.78323,-0.4409,-0.40981,0.70338,1.14579,-0.32518,1.24867,-0.6083,0.5336,1.07347,0.06961,-0.70613,-0.928,-0.25223,-0.02637,-0.85891,-0.67228
GUT_0046,0.12564,-0.66526,1.0321,0.3295,-0.52931,0.47627,1.06915,1.07515,-0.31371,-1.55994,0.04991,-0.06791,-2.11818,-0.42532,-1.14831,-1.05075,-0.70901,-0.37344,0.24768,0.98216,0.11545,1.04719,-0.96413,0.36327,0.76242,-0.15692,-0.71049,-1.06282,-0.37369,0.21026,-1.05992,-0.22624
GUT_0047,0.08583,-0.3896,0.2626,-0.45349,-0.82966,0.14852,1.29087,0.47695,-0.34631,-0.99953,-0.31198,-0.0869,-2.26403,-0.45563,-0.85846,-1.03552,-0.67267,0.03955,1.03408,1.01958,-0.23209,0.73968,-0.23758,0.42856,0.43248,0.31185,-0.59003,-1.01033,-0.59718,0.40273,-0.95113,-0.08747
GUT_0048,0.31586,0.01422,0.32088,-0.17396,-0.33104,0.5234,1.43355,1.15717,-0.84224,-1.12419,-0.87049,0.05692,-2.0927,-0.38801,-0.75768,-0.44875,-0.20123,-0.36909,0.06439,0.86787,0.00938,1.29671,-0.48485,0.38912,0.75603,0.32757,-0.40556,-1.10476,-0.32975,0.25934,-0.9394,-0.2352
GUT_0049,-0.13517,-0.34976,0.80449,0.14987,-0.73468,0.19721,1.26433,0.83806,-0.5421,-1.55648,-0.53244,0.42396,-2.27469,-0.44087,-1.42667,-0.72135,-0.70031,-0.00765,-0.04847,1.45225,-0.63478,1.35621,-0.93594,0.55656,0.70996,-0.18925,-0.82851,-1.02448,-0.94148,0.33382,-1.60777,0.08491
GUT_0050,-0.02441,-0.33038,0.80336,-0.04113,-0.92257,0.33983,0.95973,0.94385,-0.359,-1.02475,-0.62281,-0.0001,-2.40423,-0.37818,-1.15714,-0.77174,-0.63968,-0.24879,-0.09296,1.53163,0.029,1.01802,-0.63643,0.06924,0.76865,-0.12977,-0.47053,-1.40191,-0.54632,-0.19207,-1.01473,-0.2886
GUT_0051,0.51659,-0.27315,0.7709,0.0677,-0.47481,0.74463,1.23684,1.39512,-0.77578,-1.28881,-0.15095,0.11013,-2.83302,-0.16259,-1.56637,-1.14792,-0.77992,-0.23478,0.13329,0.6922,-0.22348,1.46762,-0.83929,0.0249,0.3603,-0.10004,-0.53242,-0.6712,-0.26027,0.17637,-0.97728,0.10775
GUT_0052,-0.34199,0.03847,0.52766,-0.18401,-0.34246,0.08379,1.08718,1.33129,-0.96524,-1.42942,-0.79409,0.23753,-2.78401,0.09381,-1.30675,-0.81148,-0.76843,-0.35266,0.77923,1.09573,-0.36167,1.27962,-0.53158,0.37284,0.83914,0.24516,-0.65323,-1.19115,-0.93645,0.34532,-0.54526,-0.41436
GUT_0053,0.56064,-0.1158,0.95285,0.29256,-0.67462,-0.14311,1.07664,1.03939,-0.59892,-1.39098,-0.8377,-0.35875,-2.74511,-0.24932,-1.63959,-0.73604,-0.74375,-0.42284,0.94297,1.05458,-0.21442,1.32313,-1.03361,0.6863,1.11542,-0.03899,-0.68618,-1.08962,-0.35866,-0.11555,-0.94275,0.16614
GUT_0054,0.36317,0.35553,0.82316,0.12921,-0.73622,0.4705,1.78457,0.44286,-0.45941,-1.22847,-0.24494,0.00934,-2.86596,0.27907,-1.53576,-0.53219,-0.57615,-0.3262,0.44604,0.90605,-0.08189,1.44338,-0.46479,0.38277,0.98314,0.42606,-0.969,-0.90419,-0.33815,0.47905,-1.02551,-0.18434
GUT_0055,0.04544,0.03922,0.61495,0.11261,-0.84143,0.37577,1.29659,0.57618,-0.88885,-1.37888,-1.00545,-0.26296,-1.95764,-0.47629,-1.46008,-1.08121,-0.23741,-0.08675,0.49118,1.06357,-0.2515,1.29536,-0.83373,0.51608,1.07652,0.32217,-0.23128,-0.74493,-0.29909,0.47112,-1.39512,-0.20799
GUT_0056,0.00248,0.31118,0.9058,-0.03316,-0.95061,0.08059,1.56368,0.86676,-1.07406,-1.3216,-0.2001,0.44364,-2.4433,-0.14176,-1.09272,-1.10206,-0.67749,-0.41765,0.51264,0.91494,-0.47788,1.44752,-0.8257,0.04454,0.59712,0.03827,-0.38073,-0.96536,-0.18944,-0.34134,-1.21928,-0.52367
GUT_0057,-0.01089,-0.44323,0.87736,-0.08563,-0.46753,0.19535,1.43328,0.85119,-0.50495,-1.11017,-0.06796,0.02128,-2.56886,-0.50907,-1.39524,-0.63844,-0.72272,0.06344,0.46171,0.79826,-0.24427,1.20687,-0.62063,0.09517,1.22396,0.00493,-0.80282,-0.69094,-0.64484,0.21985,-0.56156,-0.10639
GUT_0058,-0.12283,0.3051,0.6004,0.5794,-0.70664,0.67533,1.25267,1.05128,-0.39956,-1.15504,-0.42263,-0.34941,-2.44021,0.29238,-1.3032,-0.65261,-0.58503,-0.47169,0.03812,0.75708,0.29211,1.3467,-0.9624,0.12549,1.12183,-0.14278,-0.89984,-1.20088,-0.77251,0.63246,-1.04484,-0.28955
GUT_0059,0.1411,-0.05902,0.67464,0.01557,-0.65589,-0.07213,1.18106,1.48797,-1.01359,-1.26433,-0.53934,0.33983,-1.66046,-0.31799,-1.46519,-0.46722,-0.49101,0.18529,0.59296,0.87531,-0.17769,1.47222,-0.54002,0.06798,0.42242,-0.30693,-0.58921,-0.96003,-0.91644,0.08249,-1.49387,-0.27497
GUT_0060,0.10464,-0.08645,0.65531,0.42782,0.06459,0.57459,1.25659,1.13507,-0.88555,-1.47188,-0.84109,0.11442,-2.0154,0.33724,-0.91484,-0.55785,-0.71634,-0.29714,0.5475,1.01195,0.33718,1.16148,-0.84373,0.44652,1.40517,-0.35917,-0.95501,-0.59975,-0.62746,0.73497,-1.215,0.05891
GUT_0061,-0.13324,-0.53366,0.83431,-0.02743,-0.76534,0.08527,1.04274,1.28539,-0.9344,-1.40104,-0.1316,-0.06675,-2.32644,-0.12688,-1.31991,-0.9043,-0.22454,-0.23634,0.25426,0.69619,-0.41795,1.11033,-1.20419,0.64499,0.929,0.22818,-1.09822,-1.043,-0.51775,0.23909,-1.06119,-0.52041
GUT_0062,0.14445,0.12595,0.94245,0.45338,-0.49491,0.2829,1.18405,1.16989,-0.8791,-1.4938,-0.48468,0.17208,-2.16589,-0.4311,-1.17073,-0.50344,-0.66422,-0.38333,0.33714,1.42232,0.09667,1.03132,-1.04538,0.51404,0.85019,0.22716,-0.67708,-0.66933,-0.86415,0.08323,-0.94687,-0.15056
GUT_0063,-0.02073,-0.12094,0.81556,0.03603,-0.57393,-0.16195,1.03872,1.41033,-1.13241,-0.92432,-0.69775,-0.44947,-1.96061,0.10223,-1.37172,-0.51545,-0.63323,-0.30357,0.4532,0.98476,0.00256,1.4629,-0.79592,0.42551,0.77332,0.12747,-0.86772,-0.8974,-0.05756,0.05672,-1.3754,0.18936
GUT_0064,0.06332,-0.36054,0.87488,0.28323,-0.37853,0.41665,0.79149,0.65034,-0.63264,-1.92916,-0.64309,-0.215,-2.16671,-0.26794,-0.98118,-0.64785,-0.51582,-0.55964,0.56856,1.63733,-0.55615,1.11053,-0.24917,0.47946,0.82949,0.28951,-0.66038,-1.08488,-0.6248,0.43401,-0.92379,0.06025
GUT_0065,0.50676,-0.3629,0.5271,-0.0908,-0.88596,0.51724,1.04079,0.77602,-0.46804,-1.04912,-0.77863,-0.28568,-2.35109,-0.61826,-1.49852,-0.82921,-0.58379,-0.45511,0.37529,1.38802,0.02825,1.71127,-0.44119,0.40951,0.60001,-0.24001,-0.74865,-1.02388,-0.69136,0.32262,-0.7036,-0.2262
GUT_0066,-0.04626,0.36131,0.32632,0.06459,-0.64745,0.33412,1.56558,1.19552,-0.73876,-0.98455,-0.81491,0.13025,-1.88015,-0.36319,-1.19463,-0.35762,-0.75488,-0.30022,0.33293,0.76328,-0.02747,1.15543,-0.25126,0.35668,0.85093,0.10423,-0.7178,-0.97153,-0.44342,0.07649,-1.13448,-0.07741
GUT_0067,0.12787,-0.04651,0.54279,0.13896,-0.62304,-0.10358,1.53912,1.01408,-0.94307,-0.89668,-0.4539,-0.11505,-2.04839,-0.08403,-1.03869,-0.88272,-0.68342,-0.52192,0.27637,0.46424,0.14241,1.07135,-0.52277,0.02696,0.93267,-0.20408,-0.74847,-1.32165,-0.60571,0.38511,-0.95614,-0.16641
GUT_0068,-0.09753,-0.25984,1.01023,0.24728,-0.45655,0.21613,1.12169,1.10724,-0.79675,-1.34965,-0.14381,-0.20413,-2.39543,-0.28121,-1.40874,-1.08516,-0.22617,-0.66941,0.18473,1.10658,-0.43947,1.32751,-0.72934,0.29232,0.86845,-0.25809,-0.88087,-0.6006,-0.16674,0.075,-0.73839,-0.44414
GUT_0069,-0.15252,-0.01714,0.55904,0.52031,-0.32581,0.27304,1.24818,0.8931,-0.45396,-1.36147,-0.6269,-0.14254,-2.00034,-0.30607,-1.40761,-1.1123,-0.3027,-0.46423,0.39403,0.9399,-0.17516,0.87083,-0.86134,0.08061,1.44807,0.43073,-0.63398,-0.30003,-0.1384,-0.11599,-1.33092,-0.14221
GUT_0070,-0.0805,0.32927,0.55264,0.38496,-0.17082,0.21529,1.4481,1.34533,-0.33917,-1.07748,-0.51335,0.06104,-2.00784,-0.07303,-1.21484,-0.85044,-0.88242,-0.35968,0.87774,0.92161,-0.28884,1.3063,-0.71841,0.21172,1.06428,0.17546,-0.44778,-0.77135,-0.4111,-0.30557,-0.96033,-0.37246
GUT_0071,-0.06492,-0.26792,0.34005,-0.03199,-0.45687,0.6563,1.43396,1.1495,-0.48096,-1.34633,-0.25999,-0.2966,-2.29419,-0.35023,-1.73727,-0.31752,-1.04368,-0.14396,0.85992,0.99173,-0.15738,0.89177,-0.72765,0.71424,0.77294,-0.14959,-1.32244,-0.60031,-0.35478,0.14469,-0.74892,-0.34185
GUT_0072,-0.09834,-0.05952,0.6963,0.12926,-0.5341,0.03493,1.26962,0.88646,-0.87097,-1.47381,-0.87371,-0.16103,-2.22276,-0.20968,-0.83204,-0.58143,-0.69302,-0.45108,0.36839,0.95501,-0.12761,1.85176,-0.70319,0.38451,0.60556,-0.28112,-0.77741,-1.02605,-0.4073,0.55944,-1.13723,-0.38032
GUT_0073,0.14011,-0.15852,1.11022,-0.31588,-0.7409,0.52429,1.59402,0.68981,-0.40902,-1.38318,-0.80484,-0.11621,-2.23657,-0.09764,-1.46461,-0.68078,-0.63978,-0.61449,0.83458,0.80063,-0.1029,1.07525,-0.77304,0.37423,0.94382,-0.16193,-0.77347,-0.83424,-0.08668,0.41973,-0.7414,-0.05092
